0,18,5,14
1,1,10,18,6
2,18,12,5
3,16,2,15
4,18,3,14
5,18,13,7
6,17,5,15
7,17,3,12
8,16,13,5
9,9,18,3
10,16,3,15
11,17,3,14
12,18,12,6
13,10,18,5
14,17,4,12
15,9,4,17
16,9,18,3
17,18,14,7
18,18,3,13
19,2,18,15
20,18,6,15
21,18,5,14
22,18,4,13
23,18,15,7
24,9,18,4
25,10,18,5
26,18,3,12
27,17,5,14
28,9,2,18
29,18,4,12
30,16,9,2
31,17,4,12
32,2,18,13
33,18,12,6
34,9,18,5
35,18,3,12
36,18,4,14
37,16,2,12
38,2,18,12
39,9,2,18
40,11,16,3
41,18,4,13
42,17,12,5
43,9,2,17
44,18,4,14
45,16,11,5
46,17,2,12
47,2,18,13
48,18,4,13
49,18,12,7
50,8,18,14
51,2,18,12
52,17,4,12
53,9,3,17
54,17,2,11
55,17,4,12
56,9,18,3
57,18,4,14
58,10,18,7
59,17,4,14
60,18,12,5
61,16,2,12
62,10,18,4
63,11,17,3
64,18,13,7
65,9,18,3
66,18,15,7
67,18,11,4
68,13,18,5
69,18,11,5
70,17,4,12
71,18,5,15
72,10,18,4
73,16,2,10
74,8,18,15
75,9,2,17
76,8,18,14
77,17,10,4
78,18,5,15
79,18,4,13
80,16,9,2
81,18,3,15
82,8,18,14
83,17,3,12
84,18,11,7
85,18,5,15
86,18,15,7
87,13,18,5
88,2,18,15
89,16,2,10
90,18,4,12
91,18,13,6
92,8,18,15
93,2,18,12
94,18,15,7
95,9,18,6
96,18,4,12
97,18,12,5
98,17,5,14
99,18,12,5
100,18,14,7
101,18,14,7
102,10,18,4
103,17,10,5
104,18,12,6
105,18,4,13
106,17,2,15
107,17,3,13
108,18,12,7
109,16,2,15
110,17,3,14
111,9,18,4
112,18,4,14
113,18,2,11
114,18,4,12
115,10,18,5
116,17,2,14
117,18,4,12
118,18,5,14
119,10,18,4
120,9,18,3
121,17,2,13
122,18,11,4
123,10,18,5
124,10,18,6
125,17,2,10
126,9,2,18
127,9,18,6
128,10,18,6
129,18,13,6
130,2,18,14
131,18,5,14
132,9,4,17
133,8,10,18
134,18,12,7
135,18,11,6
136,18,11,7
137,16,9,2
138,10,18,5
139,2,18,13
140,10,18,5
141,18,13,6
142,17,10,6
143,18,11,6
144,16,9,2
145,18,12,7
146,17,2,10
147,18,11,6
148,18,6,14
149,8,18,12
150,18,11,6
151,13,18,5
152,9,18,4
153,17,11,4
154,17,2,13
155,9,18,6
156,18,4,12
157,17,3,15
158,18,11,7
159,18,6,15
160,8,10,18
161,18,6,14
162,16,9,2
163,18,11,6
164,10,18,5
165,8,18,15
166,18,12,5
167,18,15,7
168,17,2,13
169,8,18,15
170,16,2,15
171,18,4,15
172,16,2,10
173,18,3,15
174,11,18,3
175,16,2,10
176,18,14,7
177,18,13,6
178,18,11,6
179,18,3,14
180,8,18,11
181,18,2,10
182,18,3,14
183,18,4,12
184,2,18,12
185,17,11,4
186,17,5,14
187,17,10,3
188,18,5,14
189,18,5,14
190,18,4,15
191,17,4,13
192,18,5,15
193,18,15,7
194,18,15,7
195,18,13,6
196,17,2,14
197,8,18,15
198,17,3,13
199,9,2,18
200,9,18,5
201,9,5,17
202,2,18,12
203,16,2,11
204,18,4,13
205,10,18,6
206,18,13,7
207,18,4,14
208,9,2,18
209,18,6,15
210,16,9,2
211,9,4,17
212,16,2,11
213,9,5,17
214,18,4,13
215,18,11,4
216,17,2,12
217,8,18,15
218,18,11,4
219,8,18,11
220,18,5,14
221,18,5,15
222,17,10,3
223,18,11,5
224,16,9,2
225,18,2,11
226,18,14,7
227,13,18,5
228,16,9,2
229,9,2,18
230,17,3,15
231,17,4,13
232,18,12,5
233,17,12,5
234,10,18,6
235,16,2,13
236,18,12,5
237,18,11,6
238,10,18,5
239,8,9,18
240,18,11,6
241,16,9,2
242,17,4,14
243,18,6,15
244,10,18,6
245,18,6,14
246,18,4,13
247,18,11,6
248,18,12,7
249,17,12,6
250,18,11,5
251,17,2,14
252,17,3,12
253,18,5,14
254,18,4,14
255,2,18,14
256,16,9,2
257,17,3,14
258,9,2,18
259,10,18,6
260,17,4,14
261,18,11,6
262,13,18,5
263,8,18,13
264,11,18,3
265,8,18,13
266,16,9,2
267,10,18,6
268,17,10,3
269,10,18,4
270,18,3,15
271,17,4,15
272,2,18,13
273,17,5,15
274,18,4,13
275,2,18,14
276,9,18,5
277,16,9,2
278,2,18,14
279,17,10,4
280,16,2,12
281,16,9,4
282,18,12,6
283,18,11,6
284,16,2,10
285,13,18,5
286,16,2,11
287,18,13,6
288,17,4,13
289,18,2,11
290,18,6,15
291,17,4,15
292,9,2,18
293,9,18,6
294,18,12,7
295,2,18,13
296,17,4,14
297,9,2,17
298,17,2,12
299,10,18,6
300,10,18,6
301,18,4,14
302,16,3,15
303,9,2,17
304,18,11,4
305,8,18,13
306,18,11,6
307,16,2,14
308,13,18,5
309,17,5,14
310,18,5,15
311,18,10,3
312,2,18,13
313,2,18,14
314,17,11,4
315,18,14,7
316,17,2,10
317,18,5,14
318,18,12,7
319,11,17,3
320,18,12,7
321,9,18,6
322,9,18,5
323,18,11,5
324,18,4,13
325,18,6,15
326,18,4,14
327,9,2,17
328,18,12,7
329,18,11,4
330,18,5,14
331,16,2,12
332,8,18,14
333,10,18,7
334,18,5,15
335,16,9,2
336,10,18,4
337,18,4,13
338,17,10,3
339,18,4,15
340,9,2,17
341,9,2,18
342,18,6,15
343,18,2,10
344,18,6,14
345,10,18,5
346,18,12,7
347,10,18,6
348,10,18,5
349,17,13,5
350,17,3,15
351,18,11,6
352,17,11,4
353,18,5,15
354,17,4,12
355,18,13,6
356,18,11,7
357,9,2,17
358,18,5,15
359,18,11,6
360,2,18,12
361,18,3,14
362,18,2,10
363,18,5,15
364,17,3,13
365,10,18,7
366,18,6,15
367,18,14,7
368,10,18,4
369,18,11,5
370,16,9,2
371,18,11,5
372,9,4,17
373,18,6,15
374,17,3,13
375,18,12,6
376,2,18,14
377,18,12,6
378,8,18,15
379,18,12,5
380,18,13,6
381,2,18,12
382,2,18,12
383,18,11,4
384,17,3,14
385,18,11,7
386,18,6,15
387,18,14,7
388,9,18,5
389,2,18,13
390,9,2,17
391,17,4,13
392,2,18,13
393,16,2,10
394,17,13,6
395,10,18,6
396,10,18,4
397,18,11,4
398,17,10,5
399,18,13,6
400,10,18,7
401,18,12,5
402,18,11,4
403,16,3,15
404,16,2,11
405,17,3,14
406,18,5,15
407,17,10,5
408,10,18,6
409,9,2,18
410,2,18,12
411,17,4,13
412,10,18,5
413,18,5,14
414,11,17,3
415,16,9,3
416,18,2,10
417,17,11,4
418,17,11,4
419,10,18,6
420,18,11,6
421,2,18,13
422,18,11,6
423,18,6,15
424,18,4,12
425,18,5,15
426,18,11,7
427,17,11,5
428,17,4,15
429,9,18,4
430,17,4,15
431,2,18,15
432,18,12,6
433,2,18,15
434,10,18,6
435,18,5,15
436,17,10,5
437,9,3,17
438,18,13,7
439,18,4,15
440,18,6,14
441,2,18,13
442,18,5,14
443,18,4,13
444,18,13,7
445,18,2,11
446,16,9,2
447,9,4,17
448,18,4,14
449,9,18,5
450,18,2,11
451,18,2,11
452,18,4,13
