0,1
0,35
0,5
0,70
0,8
0,10
0,42
0,12
0,14
0,78
0,16
0,80
0,19
0,53
0,55
0,24
0,57
1,0
1,32
1,66
1,5
1,8
1,10
1,43
1,12
1,44
1,14
1,46
1,16
1,77
1,80
1,19
1,22
1,56
2,0
2,32
2,66
2,5
2,8
2,10
2,42
2,12
2,43
2,14
2,44
2,16
2,46
2,76
2,19
2,80
2,23
2,56
3,2
3,5
3,6
3,8
3,10
3,12
3,14
3,16
3,19
3,20
3,28
3,29
3,30
3,34
3,42
3,43
3,44
3,49
3,50
3,52
3,53
3,54
3,55
3,59
3,60
3,61
3,62
3,65
3,72
3,77
3,80
4,64
4,65
4,2
4,6
4,8
4,41
4,74
4,11
4,13
4,45
4,15
4,47
4,17
4,18
4,19
4,79
4,21
4,80
4,26
5,4
5,5
5,6
5,8
5,10
5,12
5,14
5,16
5,19
5,28
5,29
5,30
5,31
5,37
5,38
5,42
5,43
5,44
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,73
5,79
5,84
6,3
6,5
6,6
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,18
6,19
6,20
6,27
6,28
6,36
6,42
6,43
6,44
6,49
6,51
6,52
6,53
6,54
6,55
6,56
6,59
6,61
6,63
6,64
6,71
6,79
6,87
7,1
7,5
7,8
7,10
7,12
7,14
7,16
7,19
7,20
7,23
7,24
7,36
7,42
7,43
7,52
7,55
7,58
7,59
7,68
7,78
7,81
8,2
8,5
8,8
8,10
8,12
8,14
8,16
8,19
8,29
8,30
8,31
8,37
8,43
8,44
8,50
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,69
8,79
8,82
9,1
9,34
9,5
9,70
9,8
9,10
9,42
9,12
9,14
9,78
9,16
9,19
9,84
9,55
9,24
9,58
10,2
10,5
10,6
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,19
10,20
10,27
10,28
10,35
10,42
10,43
10,44
10,47
10,48
10,60
10,61
10,62
10,72
10,79
